Date,Open,High,Low,Close,Adj Close,Volume
01/02/2024,590.0,593.0,589.0,593.0,593.0,"26,059,058"
01/03/2024,584.0,585.0,576.0,578.0,578.0,"37,106,763"
01/04/2024,580.0,581.0,577.0,580.0,580.0,"15,309,129"
01/05/2024,578.0,580.0,574.0,576.0,576.0,"18,158,971"
01/08/2024,582.0,585.0,579.0,583.0,583.0,"17,761,275"
01/09/2024,588.0,589.0,583.0,586.0,586.0,"22,501,510"
01/10/2024,581.0,586.0,580.0,584.0,584.0,"13,037,716"
01/11/2024,586.0,589.0,583.0,586.0,586.0,"23,997,409"
01/12/2024,581.0,588.0,581.0,584.0,584.0,"16,496,053"
01/15/2024,590.0,590.0,585.0,586.0,586.0,"21,143,076"
01/16/2024,581.0,588.0,579.0,580.0,580.0,"27,223,860"
01/17/2024,583.0,584.0,578.0,581.0,581.0,"42,592,335"
01/18/2024,586.0,589.0,585.0,588.0,588.0,"27,209,996"
01/19/2024,625.0,627.0,614.0,626.0,626.0,"161,106,401"
01/22/2024,633.0,633.0,623.0,626.0,626.0,"65,168,775"
01/23/2024,629.0,629.0,622.0,628.0,628.0,"41,072,439"
01/24/2024,628.0,630.0,624.0,627.0,627.0,"26,635,005"
01/25/2024,635.0,642.0,633.0,642.0,642.0,"52,243,347"
01/26/2024,644.0,646.0,639.0,644.0,644.0,"41,153,025"
01/29/2024,646.0,648.0,644.0,648.0,648.0,"27,825,490"
01/30/2024,642.0,647.0,642.0,642.0,642.0,"36,161,825"
01/31/2024,634.0,637.0,626.0,628.0,628.0,"41,277,950"
02/01/2024,625.0,628.0,619.0,628.0,628.0,"44,946,369"
02/02/2024,633.0,635.0,628.0,635.0,635.0,"26,334,815"
02/05/2024,645.0,647.0,638.0,646.0,646.0,"44,017,740"
02/15/2024,709.0,709.0,693.0,697.0,697.0,"112,945,296"
02/16/2024,697.0,699.0,683.0,683.0,683.0,"44,232,811"
02/19/2024,674.0,682.0,674.0,678.0,678.0,"34,408,673"
02/20/2024,675.0,688.0,675.0,687.0,687.0,"30,166,461"
02/21/2024,678.0,683.0,678.0,681.0,681.0,"30,564,485"
02/22/2024,695.0,695.0,685.0,692.0,692.0,"33,145,643"
02/23/2024,701.0,703.0,696.0,697.0,697.0,"46,448,923"
02/26/2024,700.0,700.0,695.0,698.0,698.0,"28,798,079"
02/27/2024,700.0,701.0,691.0,698.0,698.0,"33,006,829"
02/29/2024,691.0,698.0,688.0,690.0,690.0,"54,368,302"
